Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Trump,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation
Quinnipiac,5/24/2016,5/30/2016,2016-06-01T12:56:33Z,,Registered Voters - Democrat,Live Phone,90,6,4,1,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24586,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,Nonpartisan,None
Quinnipiac,5/24/2016,5/30/2016,2016-06-01T12:56:33Z,,Registered Voters - Republican,Live Phone,4,86,7,3,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24586,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,Nonpartisan,None
Quinnipiac,5/24/2016,5/30/2016,2016-06-01T12:56:33Z,,Registered Voters - independent,Live Phone,37,40,17,6,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24586,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,Nonpartisan,None
NBC/SurveyMonkey,5/23/2016,5/29/2016,2016-05-31T16:17:39Z,12969,Registered Voters,Internet,47,45,8,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24575,https://www.scribd.com/doc/314370658/NBC-News-SurveyMonkey-Toplines-and-Methodology-5-23-5-29?secret_password=gy6ehxYOZykr35Fg4ces,Nonpartisan,None
Ipsos/Reuters,5/21/2016,5/25/2016,2016-05-26T14:36:36Z,1271,Registered Voters,Internet,41,36,10,13,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24559,http://big.assets.huffingtonpost.com/2016ReutersTracking5252016.pdf,Nonpartisan,None
Ipsos/Reuters,5/21/2016,5/25/2016,2016-05-26T14:36:36Z,,Registered Voters - Democrat,Internet,70,12,8,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24559,http://big.assets.huffingtonpost.com/2016ReutersTracking5252016.pdf,Nonpartisan,None
Ipsos/Reuters,5/21/2016,5/25/2016,2016-05-26T14:36:36Z,,Registered Voters - Republican,Internet,9,70,10,11,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24559,http://big.assets.huffingtonpost.com/2016ReutersTracking5252016.pdf,Nonpartisan,None
Ipsos/Reuters,5/21/2016,5/25/2016,2016-05-26T14:36:36Z,,Registered Voters - independent,Internet,30,31,13,27,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24559,http://big.assets.huffingtonpost.com/2016ReutersTracking5252016.pdf,Nonpartisan,None
Rasmussen,5/23/2016,5/24/2016,2016-05-26T14:58:17Z,1000,Likely Voters,Automated Phone,40,39,7,14,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24560,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None
Morning Consult,5/19/2016,5/23/2016,2016-05-24T15:12:23Z,2001,Registered Voters,Internet,42,40,18,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24544,https://morningconsultintelligence.com/media/mc/160507_topline_trend_v2_AP.pdf,Nonpartisan,None
YouGov/Economist,5/20/2016,5/23/2016,2016-05-25T20:43:06Z,1622,Registered Voters,Internet,42,41,10,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24557,https://today.yougov.com/news/2016/05/25/clinton-expands-her-primary-lead-sanders-supporter/,Nonpartisan,None
YouGov/Economist,5/20/2016,5/23/2016,2016-05-25T20:43:06Z,642,Registered Voters - Democrat,Internet,82,8,7,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24557,https://today.yougov.com/news/2016/05/25/clinton-expands-her-primary-lead-sanders-supporter/,Nonpartisan,None
YouGov/Economist,5/20/2016,5/23/2016,2016-05-25T20:43:06Z,451,Registered Voters - Republican,Internet,3,83,10,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24557,https://today.yougov.com/news/2016/05/25/clinton-expands-her-primary-lead-sanders-supporter/,Nonpartisan,None
YouGov/Economist,5/20/2016,5/23/2016,2016-05-25T20:43:06Z,529,Registered Voters - independent,Internet,36,40,12,14,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24557,https://today.yougov.com/news/2016/05/25/clinton-expands-her-primary-lead-sanders-supporter/,Nonpartisan,None
NBC/SurveyMonkey,5/16/2016,5/22/2016,2016-05-24T13:35:21Z,14513,Registered Voters,Internet,47,43,9,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24539,http://www.nbcnews.com/politics/2016-election/poll-majority-americans-dislike-hillary-clinton-donald-trump-n578926,Nonpartisan,None
ARG,5/17/2016,5/20/2016,2016-05-23T18:50:29Z,980,Registered Voters,Live Phone,46,46,6,2,http://elections.huffingtonpost.com/pollster/polls/arg-24535,http://americanresearchgroup.com/pres2016/na16-1.html,Nonpartisan,None
NBC/WSJ,5/15/2016,5/19/2016,2016-05-22T15:22:23Z,1000,Registered Voters,Live Phone,46,43,2,9,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24525,http://www.wsj.com/public/resources/documents/16306NBCWSJMay2016Poll.pdf,Pollster,Dem
ABC/Post,5/16/2016,5/19/2016,2016-05-22T15:35:17Z,829,Registered Voters,Live Phone,44,46,1,2,http://elections.huffingtonpost.com/pollster/polls/abc-post-24526,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2016/05/22/National-Politics/Polling/release_426.xml?uuid=v4d0jh_REeaCwqfcsxMofQ,Nonpartisan,None
Schoen (D),5/16/2016,5/19/2016,2016-05-22T17:13:42Z,1000,Likely Voters,Live Phone,44,42,14,,http://elections.huffingtonpost.com/pollster/polls/schoen-d-24527,http://big.assets.huffingtonpost.com/POTUSSCHOEN5.20.16topline.pdf,Pollster,Dem
Ipsos/Reuters,5/14/2016,5/18/2016,2016-05-19T18:33:20Z,1397,Registered Voters,Internet,41,36,9,14,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24517,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical5182016.pdf,Nonpartisan,None
Ipsos/Reuters,5/14/2016,5/18/2016,2016-05-19T18:33:20Z,,Registered Voters - Democrat,Internet,73,10,7,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24517,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical5182016.pdf,Nonpartisan,None
Ipsos/Reuters,5/14/2016,5/18/2016,2016-05-19T18:33:20Z,,Registered Voters - Republican,Internet,6,72,7,14,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24517,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical5182016.pdf,Nonpartisan,None
Ipsos/Reuters,5/14/2016,5/18/2016,2016-05-19T18:33:20Z,,Registered Voters - independent,Internet,22,41,14,21,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24517,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical5182016.pdf,Nonpartisan,None
Rasmussen,5/17/2016,5/18/2016,2016-05-19T15:56:23Z,1000,Likely Voters,Automated Phone,37,42,7,13,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24514,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None
FOX,5/14/2016,5/17/2016,2016-05-18T22:13:53Z,1021,Registered Voters,Live Phone,42,45,3,3,http://elections.huffingtonpost.com/pollster/polls/fox-24512,http://www.foxnews.com/politics/interactive/2016/05/18/fox-news-poll-2016-national-release-may-18/,Nonpartisan,None
CBS/Times,5/13/2016,5/17/2016,2016-05-20T11:11:10Z,1109,Registered Voters,Live Phone,47,41,10,2,http://elections.huffingtonpost.com/pollster/polls/cbs-times-24521,http://www.cbsnews.com/news/cbsnyt-national-poll-hillary-clintons-lead-over-donald-trump-narrows/,Nonpartisan,None
McLaughlin (R),5/11/2016,5/16/2016,2016-05-18T16:52:49Z,1000,Likely Voters,Internet,46,42,12,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24510,http://c5.nrostatic.com/sites/default/files/National%20-%20McLaughlin%20-%205-16-16%20Presentation%20-%20NEW%20SPECIAL.pdf,Pollster,Rep
McLaughlin (R),5/11/2016,5/16/2016,2016-05-18T16:52:49Z,,Likely Voters - Democrat,Internet,81,12,8,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24510,http://c5.nrostatic.com/sites/default/files/National%20-%20McLaughlin%20-%205-16-16%20Presentation%20-%20NEW%20SPECIAL.pdf,Pollster,Rep
McLaughlin (R),5/11/2016,5/16/2016,2016-05-18T16:52:49Z,,Likely Voters - Republican,Internet,11,83,7,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24510,http://c5.nrostatic.com/sites/default/files/National%20-%20McLaughlin%20-%205-16-16%20Presentation%20-%20NEW%20SPECIAL.pdf,Pollster,Rep
McLaughlin (R),5/11/2016,5/16/2016,2016-05-18T16:52:49Z,,Likely Voters - independent,Internet,41,34,25,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24510,http://c5.nrostatic.com/sites/default/files/National%20-%20McLaughlin%20-%205-16-16%20Presentation%20-%20NEW%20SPECIAL.pdf,Pollster,Rep
NBC/SurveyMonkey,5/9/2016,5/15/2016,2016-05-17T14:03:29Z,12507,Registered Voters,Internet,48,45,7,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24497,http://www.nbcnews.com/politics/2016-election/hillary-clinton-holds-slim-national-lead-over-donald-trump-poll-n574901,Nonpartisan,None
Morning Consult,5/11/2016,5/15/2016,2016-05-17T14:50:29Z,3971,Registered Voters,Internet,42,40,17,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24498,https://morningconsult.com/2016/05/poll-trump-barely-leads-trump-nationally/,Nonpartisan,None
Morning Consult,5/11/2016,5/15/2016,2016-05-17T14:50:29Z,1519,Registered Voters - Democrat,Internet,76,13,11,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24498,https://morningconsult.com/2016/05/poll-trump-barely-leads-trump-nationally/,Nonpartisan,None
Morning Consult,5/11/2016,5/15/2016,2016-05-17T14:50:29Z,1217,Registered Voters - Republican,Internet,11,76,13,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24498,https://morningconsult.com/2016/05/poll-trump-barely-leads-trump-nationally/,Nonpartisan,None
Morning Consult,5/11/2016,5/15/2016,2016-05-17T14:50:29Z,1235,Registered Voters - independent,Internet,32,39,29,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24498,https://morningconsult.com/2016/05/poll-trump-barely-leads-trump-nationally/,Nonpartisan,None
Ipsos/Reuters,5/7/2016,5/11/2016,2016-05-14T15:49:30Z,1397,Registered Voters,Internet,41,37,8,14,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24487,http://www.ipsos-na.com/download/pr.aspx?id=15581,Nonpartisan,None
Ipsos/Reuters,5/7/2016,5/11/2016,2016-05-14T15:49:30Z,,Registered Voters - Democrat,Internet,75,11,4,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24487,http://www.ipsos-na.com/download/pr.aspx?id=15581,Nonpartisan,None
Ipsos/Reuters,5/7/2016,5/11/2016,2016-05-14T15:49:30Z,,Registered Voters - Republican,Internet,8,69,9,15,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24487,http://www.ipsos-na.com/download/pr.aspx?id=15581,Nonpartisan,None
Ipsos/Reuters,5/7/2016,5/11/2016,2016-05-14T15:49:30Z,,Registered Voters - independent,Internet,19,42,10,28,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24487,http://www.ipsos-na.com/download/pr.aspx?id=15581,Nonpartisan,None
Gravis Marketing/OANN,5/10/2016,5/10/2016,2016-05-13T02:26:58Z,1574,Registered Voters,Automated Phone,51,49,,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-24484,http://www.oann.com/pollnational/,Sponsor,Rep
PPP (D),5/6/2016,5/9/2016,2016-05-10T14:17:04Z,1222,Registered Voters,IVR/Online,42,38,13,6,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24466,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_51016.pdf,Pollster,Dem
Morning Consult,5/5/2016,5/9/2016,2016-05-11T15:59:36Z,6005,Registered Voters,Internet,44,38,18,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24474,https://morningconsult.com/2016/05/hillary-clinton-donald-trump-general-election-polling/,Nonpartisan,None
YouGov/Economist,5/6/2016,5/9/2016,2016-05-11T17:46:34Z,1612,Registered Voters,Internet,42,40,12,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24478,https://today.yougov.com/news/2016/05/11/most-republicans-think-ryan-should-endorse-trump/,Nonpartisan,None
YouGov/Economist,5/6/2016,5/9/2016,2016-05-11T17:46:34Z,453,Registered Voters - Democrat,Internet,89,5,3,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24478,https://today.yougov.com/news/2016/05/11/most-republicans-think-ryan-should-endorse-trump/,Nonpartisan,None
Morning Consult,5/5/2016,5/9/2016,2016-05-11T15:59:36Z,2273,Registered Voters - Democrat,Internet,77,11,12,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24474,https://morningconsult.com/2016/05/hillary-clinton-donald-trump-general-election-polling/,Nonpartisan,None
Morning Consult,5/5/2016,5/9/2016,2016-05-11T15:59:36Z,1850,Registered Voters - Republican,Internet,14,74,12,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24474,https://morningconsult.com/2016/05/hillary-clinton-donald-trump-general-election-polling/,Nonpartisan,None
YouGov/Economist,5/6/2016,5/9/2016,2016-05-11T17:46:34Z,445,Registered Voters - Republican,Internet,4,80,10,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24478,https://today.yougov.com/news/2016/05/11/most-republicans-think-ryan-should-endorse-trump/,Nonpartisan,None
YouGov/Economist,5/6/2016,5/9/2016,2016-05-11T17:46:34Z,714,Registered Voters - independent,Internet,41,34,16,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24478,https://today.yougov.com/news/2016/05/11/most-republicans-think-ryan-should-endorse-trump/,Nonpartisan,None
Morning Consult,5/5/2016,5/9/2016,2016-05-11T15:59:36Z,1881,Registered Voters - independent,Internet,34,37,29,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24474,https://morningconsult.com/2016/05/hillary-clinton-donald-trump-general-election-polling/,Nonpartisan,None
NBC/SurveyMonkey,5/2/2016,5/8/2016,2016-05-10T15:11:26Z,11089,Registered Voters,Internet,49,44,7,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24468,http://www.nbcnews.com/politics/2016-election/who-s-more-likely-beat-donald-trump-hillary-clinton-or-n570766,Nonpartisan,None
Ipsos/Reuters,4/30/2016,5/4/2016,2016-05-05T17:34:32Z,1102,Registered Voters,Internet,45,36,8,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24447,http://big.assets.huffingtonpost.com/2016ReutersTracking5042016.pdf,Nonpartisan,None
Morning Consult,4/29/2016,5/2/2016,2016-05-03T14:47:06Z,1976,Registered Voters,Internet,45,40,15,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24431,https://morningconsult.com/2016/05/donald-trump-hits-new-high-among-gop-voters/,Nonpartisan,None
Morning Consult,4/29/2016,5/2/2016,2016-05-03T14:47:06Z,781,Registered Voters - Democrat,Internet,81,11,8,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24431,https://morningconsult.com/2016/05/donald-trump-hits-new-high-among-gop-voters/,Nonpartisan,None
Morning Consult,4/29/2016,5/2/2016,2016-05-03T14:47:06Z,581,Registered Voters - Republican,Internet,9,77,14,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24431,https://morningconsult.com/2016/05/donald-trump-hits-new-high-among-gop-voters/,Nonpartisan,None
Morning Consult,4/29/2016,5/2/2016,2016-05-03T14:47:06Z,614,Registered Voters - independent,Internet,34,42,24,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24431,https://morningconsult.com/2016/05/donald-trump-hits-new-high-among-gop-voters/,Nonpartisan,None
NBC/SurveyMonkey,4/25/2016,5/1/2016,2016-05-03T14:16:53Z,12462,Registered Voters,Internet,43,37,1,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24429,http://www.nbcnews.com/politics/2016-election/donald-trump-s-lead-continues-grow-nationally-poll-n566181,Nonpartisan,None
CNN,4/28/2016,5/1/2016,2016-05-04T13:43:46Z,890,Registered Voters,Live Phone,54,41,4,1,http://elections.huffingtonpost.com/pollster/polls/cnn-24438,http://i2.cdn.turner.com/cnn/2016/images/05/04/rel6b.-.2016.general.pdf,Nonpartisan,None
CNN,4/28/2016,5/1/2016,2016-05-04T13:43:46Z,,Registered Voters - Democrat,Live Phone,94,5,1,,http://elections.huffingtonpost.com/pollster/polls/cnn-24438,http://i2.cdn.turner.com/cnn/2016/images/05/04/rel6b.-.2016.general.pdf,Nonpartisan,None
CNN,4/28/2016,5/1/2016,2016-05-04T13:43:46Z,,Registered Voters - Republican,Live Phone,12,84,3,1,http://elections.huffingtonpost.com/pollster/polls/cnn-24438,http://i2.cdn.turner.com/cnn/2016/images/05/04/rel6b.-.2016.general.pdf,Nonpartisan,None
