"","X","id","id_str","user.screen_name","created_at","place.country","place.full_name","favorite_count","text","origin","date","date2"
"38863",38863,2,572167759955668992,"cupsdaddy","Sun Mar 01 22:53:18 +0000 2015","","",0,"RT @TeamCavuto: Media loud and furious over #BlackLivesMatter, so does the silence over this mean Christian lives don't? @FoxBusiness http:…",2,2015-03-01 22:53:18,2015-03-01
"39532",39532,2,549982378324926464,"TheReaIHOodRept","Tue Dec 30 17:36:31 +0000 2014","","",0,"@BilldeBlasio There is a rumor among the #NYPD that they're going to plant drugs on your son or daughter @CommissBratton @wpix @NY1",2,2014-12-30 17:36:31,2014-12-30
"71559",71559,5,730848710893043712,"ReclaimUW","Thu May 12 19:54:45 +0000 2016","","",0,"RT @UWLutherans: No justice, no peace #blacklivesmatter #decolonizeuw https://t.co/rA7YqjFknP",5,2016-05-12 19:54:45,2016-05-12
"94084",94084,7,755056248412901376,"BS_1227","Mon Jul 18 15:06:52 +0000 2016","","",0,"RT @saliqaWBAL: #BREAKING Lt. Brian Rice found NOT GUILTY on involuntary manslaughter charges #FreddieGray https://t.co/fjpR3gp9aq https://…",7,2016-07-18 15:06:52,2016-07-18
"82708",82708,6,752353880407699456,"MISSMisserenee","Mon Jul 11 04:08:37 +0000 2016","","",0,"RT @jamalhbryant: Tomorrow I'm gonna discuss #altonsterling #philandocastille #blacklivesmatter on day time… https://t.co/YyVbicDQre",6,2016-07-11 04:08:37,2016-07-11
"63399",63399,5,751370770190917632,"DanAndros","Fri Jul 08 11:02:06 +0000 2016","","",0,"RT @dallasnews: John Legend, NYPD, Bachelorette's JoJo Fletcher among Twitter reactions to #Dallas shooting https://t.co/fiRKg8BJ9B https:/…",5,2016-07-08 11:02:06,2016-07-08
"37979",37979,2,549702661541724160,"edington901","Mon Dec 29 23:05:02 +0000 2014","","",0,"RT @Bipartisanism: Don't let the protests stop just because #CNN and #FoxNews aren't covering #BlackLivesMatter anymore. #NYPD http://t.co/…",2,2014-12-29 23:05:02,2014-12-29
"94187",94187,7,772834454003863552,"AdiRaj1402","Mon Sep 05 16:31:07 +0000 2016","","",0,"RT @CeIebslnHS: -psycho -keys all her ex boyfriends cars -supports #BlackLivesMatter but locks car door when a black person walks by https:…",7,2016-09-05 16:31:07,2016-09-05
"75483",75483,6,751595356622839808,"SeanieFitz","Sat Jul 09 01:54:31 +0000 2016","","",0,"""The whole world gotta stop for one little whitey down a hole"" real talk. #blacklivesmatter",6,2016-07-09 01:54:31,2016-07-09
"22756",22756,1,540729277663444992,"VaishaliSinha","Fri Dec 05 04:48:00 +0000 2014","","",0,"RT @SeaNick_: Lincoln Tunnel still shutdown #icantbreathe #ericgarner #BlackLivesMatter http://t.co/Ya3n3SyWPB",1,2014-12-05 04:48:00,2014-12-05
"91444",91444,7,767651418291507200,"Tyl0_Ren","Mon Aug 22 09:15:35 +0000 2016","","",0,"RT @PrisonPlanet: #BlackLivesMatter created 'White Lives Matter'. If you build a movement on racism &amp; division, you're going to create more…",7,2016-08-22 09:15:35,2016-08-22
"62029",62029,5,751127540463333376,"ViictoriaSewall","Thu Jul 07 18:55:35 +0000 2016","","",0,"RT @MadisonBeer: i pray for peace, equality, &amp; justice for all. #BLACKLIVESMATTER",5,2016-07-07 18:55:35,2016-07-07
"31902",31902,2,547490651039096832,"Dani_Rams14","Tue Dec 23 20:35:17 +0000 2014","","",0,"RT @makayla_ven: “@The_RedParty: President Bush said he will be attending the funerals of the two NYPD officers.   http://t.co/edGqdhSfnb”",2,2014-12-23 20:35:17,2014-12-23
"7627",7627,1,546463845128998912,"Westxgal","Sun Dec 21 00:35:08 +0000 2014","","",0,"RT @rightnowio_feed: Keeping the 2 NYPD Officers killed in prayer today. Attacks on Police... http://t.co/deq6UiGnR6 #Policeofficerslivesma…",1,2014-12-21 00:35:08,2014-12-21
"26077",26077,2,547113215751368704,"LDDUSA","Mon Dec 22 19:35:30 +0000 2014","","",0,"I thought there was no connection..Why is NY mayor asks protesters to suspend marches until after NYPD cops' funerals http://t.co/XtPLZGPpWC",2,2014-12-22 19:35:30,2014-12-22
"88358",88358,7,758747181062889472,"norvilgirl","Thu Jul 28 19:33:19 +0000 2016","","",0,"RT @JessieJaneDuff: The Clinton Foundation's corruption proves Hillary lies to #BlackLivesMatter. #Haiti #Africa Watch 'Clinton Cash' &gt; htt…",7,2016-07-28 19:33:19,2016-07-28
"1753",1753,1,696089864752615424,"visualDespair","Sat Feb 06 21:55:31 +0000 2016","","",0,"RT @dannyyonce: This is a Motherfucking BLACKLIVESMATTER anthem!! Tidal just donated 1.5 million to the actual movement.  I CANNOT https://…",1,2016-02-06 21:55:31,2016-02-06
"31478",31478,2,588873331920736256,"THIRDTIMETRYING","Fri Apr 17 01:15:17 +0000 2015","","",0,"RT @hoez4sale: #blacklivesmatter http://t.co/08rBctkFqX",2,2015-04-17 01:15:17,2015-04-17
"21170",21170,1,704359995702321152,"faythpotthoff","Mon Feb 29 17:38:04 +0000 2016","","",0,"RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",1,2016-02-29 17:38:04,2016-02-29
"90592",90592,7,758527978980737024,"Ace_Brav","Thu Jul 28 05:02:17 +0000 2016","United States","Elmont, NY",0,"Chance The Rapper  https://t.co/A92SJTtMv7",7,2016-07-28 05:02:17,2016-07-28
"64978",64978,5,750882369624735744,"LifeWithSteve_","Thu Jul 07 02:41:22 +0000 2016","","",0,"No but you look like the type to need a perm 😂✌ https://t.co/7vTcpyxb8Y",5,2016-07-07 02:41:22,2016-07-07
"12923",12923,1,697245350051082240,"QueenNicki__","Wed Feb 10 02:27:00 +0000 2016","","",0,"RT @__iamkaylon: And seeing people from my school getting mad about beyoncé's video shows me their stand point on the whole #blacklivesmatt…",1,2016-02-10 02:27:00,2016-02-10
"11037",11037,1,540539334533726208,"drivingrl","Thu Dec 04 16:13:14 +0000 2014","","",0,"RT @aishatyler: I can't breathe. #blacklivesmatter #alllivesmatter",1,2014-12-04 16:13:14,2014-12-04
"17707",17707,1,546518979716849664,"PayinAttention2","Sun Dec 21 04:14:13 +0000 2014","","",0,"RT @Steelpolynbrass: New # 🇺🇸 #JUSTICEFORLIU 🇺🇸 #JUSTICEFORRAMOS    No justice no policemen!! Sickout time 4 NYPD @Victoriaokane @StLNetwor…",1,2014-12-21 04:14:13,2014-12-21
"53291",53291,3,605493604098768896,"jackyalcine","Mon Jun 01 21:58:19 +0000 2015","","",0,"RT @BroderickGreer: @CandyCornball on the intersection of black trans women, #BlackLivesMatter, and advocacy. http://t.co/cTLBBq8eeu",3,2015-06-01 21:58:19,2015-06-01
"55573",55573,3,634220899252629504,"perpetual_hayes","Thu Aug 20 04:30:20 +0000 2015","","",0,"RT @Debber66: Do #BlackLivesMatter to #PlannedParenthood ? An honest question that deserves an honest answer!  About 1000 black babies r ab…",3,2015-08-20 04:30:20,2015-08-20
"59753",59753,5,751072388574502912,"KenGodberson3","Thu Jul 07 15:16:26 +0000 2016","","",0,"RT @DonCheadle: Dude has his hand on his gun AND an automatic slung over his shoulder. Wow.  https://t.co/jvzMUm8QX4",5,2016-07-07 15:16:26,2016-07-07
"19696",19696,1,543915955387400192,"ColorOfChange","Sat Dec 13 23:50:43 +0000 2014","","",0,"RT @es_snipes: Just made it Washington #icantbreathe http://t.co/HbYLNhPR4g",1,2014-12-13 23:50:43,2014-12-13
"7914",7914,1,541780965333688320,"TamaraKay7","Mon Dec 08 02:27:02 +0000 2014","","",0,"RT @sgallman: While protesters chant ""How do spell racism? #NYPD!,"" NYPD march alongside them. #cnn http://t.co/mALSiMTK4F",1,2014-12-08 02:27:02,2014-12-08
"97108",97108,8,780839063473393664,"vajimejn94","Tue Sep 27 18:38:34 +0000 2016","","",0,"RT @TalbertSwan: Powerful statement by Michael @Rose_IveyNB15 exposing #Racism &amp; need to STAND UP! #ISupportColin #BlackLivesMatter https:/…",8,2016-09-27 18:38:34,2016-09-27
"50947",50947,3,634216257546530816,"MalikMckinney98","Thu Aug 20 04:11:53 +0000 2015","","",0,"RT @CraziestSex: Sad thing is you don't even hear about this case anymore. #BlackLivesMatter http://t.co/WiX399pabe",3,2015-08-20 04:11:53,2015-08-20
"4964",4964,1,544725534274752512,"gjp0610","Tue Dec 16 05:27:42 +0000 2014","","",0,"RT @ChrisMicheleG: RT @KeeganNYC: Plain clothes NYPD cop filming &amp; using facial recognition on peaceful demonstrators. #ICantBreathe  http:…",1,2014-12-16 05:27:42,2014-12-16
"67505",67505,5,751076404339486720,"sugamanni","Thu Jul 07 15:32:23 +0000 2016","","",0,"RT @NormaniKordei: #BlackLivesMatter #BlackLivesMatter  #AltonSterling #PhilandoCastile 🙌🏾 https://t.co/9Tu6eGdjOK",5,2016-07-07 15:32:23,2016-07-07
"77589",77589,6,752665012301246464,"UF_BSLC","Tue Jul 12 00:44:57 +0000 2016","","",0,"Would the revolution be televised if we didn't have white allies? #QOTD #BlackLivesMatter",6,2016-07-12 00:44:57,2016-07-12
"75301",75301,6,751757175635124224,"devilsporkchop","Sat Jul 09 12:37:32 +0000 2016","United States","Gary, IN",0,"Who're the terrorists now? https://t.co/lQF5xkSZNf",6,2016-07-09 12:37:32,2016-07-09
"52458",52458,3,626523585171947520,"uzairthebear","Wed Jul 29 22:43:57 +0000 2015","","",0,"Yes, because I feel bad about #CecilTheLion that immediately means I am a racist who does not believe #BlackLivesMatter. You caught me!!!",3,2015-07-29 22:43:57,2015-07-29
"88309",88309,7,766440099353600000,"RESPECTPUNK434","Fri Aug 19 01:02:14 +0000 2016","","",0,"RT @RealAlexJones: #Soros: $650k to #BlackLivesMatter - https://t.co/Uj4JaPXd8d",7,2016-08-19 01:02:14,2016-08-19
"34845",34845,2,597970712008085504,"eruzlie","Tue May 12 03:45:02 +0000 2015","","",0,"they're so used to saying dumb things two black people just not used to being responded with smart well thought ideas #BlackLivesMatter",2,2015-05-12 03:45:02,2015-05-12
"63791",63791,5,750842511455760384,"xkaay_unox","Thu Jul 07 00:02:59 +0000 2016","","",0,"RT @Tray2Timez: I refuse to Silence this, Something Must be done‼️‼️‼️ #BLACKLIVESMATTER #AltonSerling https://t.co/nwrxFlqPGX",5,2016-07-07 00:02:59,2016-07-07
"73744",73744,6,753332528367493120,"Crystal_Kelela","Wed Jul 13 20:57:25 +0000 2016","","",0,"RT @WorIdStarComedy: Let's be clear. #BlackLivesMatter  https://t.co/WfqtzDHV1m",6,2016-07-13 20:57:25,2016-07-13
"28767",28767,2,583622376530784256,"O2B_Luvlee","Thu Apr 02 13:29:52 +0000 2015","","",0,"😂😂😂😂😂😂😂 #iCantBreathe #bwaaaaaaaaahahahahahahahahahaha #lowselfinsteeen https://t.co/nlaVs4HeXD",2,2015-04-02 13:29:52,2015-04-02
"19265",19265,1,695804605620469760,"roeorr","Sat Feb 06 03:02:00 +0000 2016","","",0,"RT @SusaYung: Acknowledging that #BlackLivesMatter does not diminish my ""white life"". They are the same in the eyes of God. God's love is a…",1,2016-02-06 03:02:00,2016-02-06
"97815",97815,8,788636254099410944,"Sadyoyox","Wed Oct 19 07:01:49 +0000 2016","","",0,"RT @cbenavidesT47: #BREAKING Police say NYPD officer who shot woman dead had taser on him. Unknown why not used. 66 year old had bat. @Tele…",8,2016-10-19 07:01:49,2016-10-19
"53902",53902,3,638526855746707456,"CEZZ1032","Tue Sep 01 01:40:40 +0000 2015","","",0,"RT @BoDietl: #TuneIn to see me on @SeanHannity tonight at 10PM EST on @FoxNews where we will be discussing #BlackLivesMatter.",3,2015-09-01 01:40:40,2015-09-01
"92241",92241,7,755129195995369472,"veggimom1","Mon Jul 18 19:56:44 +0000 2016","","",0,"#FreddieGray #BlackLivesMatter #NoJusticeNoPeace  https://t.co/xTRh2sMOaS",7,2016-07-18 19:56:44,2016-07-18
"24710",24710,1,692002232082894848,"AmieGJ","Tue Jan 26 15:12:43 +0000 2016","","",0,"Documents Uncover NYPD’s Vast License Plate Reader Database https://t.co/PvViZ7eGMD via @aclu",1,2016-01-26 15:12:43,2016-01-26
"37408",37408,2,592572775975538688,"JeffreyJ_","Mon Apr 27 06:15:33 +0000 2015","","",0,"RT @Jason_Pollock: Powerful image going viral now. This isn't the 1960's. It's Baltimore, April 2015. #BlackLivesMatter #Every28Hrs http://…",2,2015-04-27 06:15:33,2015-04-27
"59489",59489,5,751309697479696384,"Elizabelllll","Fri Jul 08 06:59:25 +0000 2016","","",0,"RT @kumailn: When cop is shot, #BlackLivesMatter says ""That's bad."" When black man is shot by cop, other side says ""Well not his 1st traffi…",5,2016-07-08 06:59:25,2016-07-08
"75077",75077,6,753294827412828160,"_flawlessme_","Wed Jul 13 18:27:37 +0000 2016","","",0,"RT @exinneepooh: @PokemonGoApp please fix this ASAP #BlackLivesMatter  source: tumblr https://t.co/oVJL4SE5p9",6,2016-07-13 18:27:37,2016-07-13
"72176",72176,6,753627358708412416,"pikeekachu","Thu Jul 14 16:28:58 +0000 2016","","",0,"RT @eschersss: Want smooth, soft, and fragrant hands while also supporting a worthy charity? Click below! #kyungsoo #suho #kai #exo https:/…",6,2016-07-14 16:28:58,2016-07-14
"46970",46970,3,604843208707702784,"Virtuous_Queen_","Sun May 31 02:53:53 +0000 2015","","",0,"RT @seanjjordan: I've heard white people I know take the side of police who killed #EricGarner, #JohnCrawford, #DarrienHunt or even 12 year…",3,2015-05-31 02:53:53,2015-05-31
"17591",17591,1,703073007279837184,"stealthmarauder","Fri Feb 26 04:24:02 +0000 2016","","",0,"@AnneMarron It's a messy topic, my #1 issue with BlackLivesMatter, is they make they obstruct and honest and open discussion about race",1,2016-02-26 04:24:02,2016-02-26
"11135",11135,1,683104458558017536,"_____GLAMOROUS","Sat Jan 02 01:56:09 +0000 2016","","",0,"RT @SammelWoods: Man this so true. #BlackTwitterTheBestTwitter #BillCosby #BlackLiesMatter #BlackPerspectivesMatter #blacklivesmatter https…",1,2016-01-02 01:56:09,2016-01-02
"61653",61653,5,750949076217188352,"hobiaesthetic","Thu Jul 07 07:06:26 +0000 2016","","",0,"#BlackLivesMatter",5,2016-07-07 07:06:26,2016-07-07
"66673",66673,5,750740587008053248,"xxGabii_97","Wed Jul 06 17:17:58 +0000 2016","","",0,"RT @FTBABYSPICE: brock turner raped a woman and got 6 months (and he can get off in 3) and #AltonSterling sells CDs and he is shot 6 times.…",5,2016-07-06 17:17:58,2016-07-06
"99845",99845,8,778984649766952960,"muskie_minster","Thu Sep 22 15:49:47 +0000 2016","","",0,"RT @crazypastor: Offensive.  #BlackLivesMatter   (h/t @lennyaduncan) https://t.co/yI0ejJhJ2F",8,2016-09-22 15:49:47,2016-09-22
"68998",68998,5,744557705143033856,"_CoolTableNerd","Sun Jun 19 15:49:24 +0000 2016","","",0,"RT @KeeganNYC: NYPD fatally shot a BX man this morning. 31 shots. There's video. Hasn't been released: https://t.co/M4q5luX3nP https://t.co…",5,2016-06-19 15:49:24,2016-06-19
"15198",15198,1,704261436583890944,"psychopathjmg","Mon Feb 29 11:06:25 +0000 2016","","",0,"RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",1,2016-02-29 11:06:25,2016-02-29
"87766",87766,7,757617278779322368,"frismm","Mon Jul 25 16:43:29 +0000 2016","","",0,"RT @tyleroakley: #BlackLivesMatter https://t.co/vzDQmVu6h6",7,2016-07-25 16:43:29,2016-07-25
"97320",97320,8,783870046909136896,"FourthN13","Thu Oct 06 03:22:37 +0000 2016","","",0,"RT @LawlessPirate: We have the terrorist organizations #BlackLivesMatter and ISIS recruiting and spouting their message on here, but we can…",8,2016-10-06 03:22:37,2016-10-06
"37356",37356,2,584808400665579520,"sacrilegioussss","Sun Apr 05 20:02:42 +0000 2015","","",0,"RT @pale_darkie: #BlackLivesMatter rest in peace #HakeemKuta http://t.co/cAOlkmvrSS",2,2015-04-05 20:02:42,2015-04-05
"39023",39023,2,549089403365105664,"IMA_Indian","Sun Dec 28 06:28:10 +0000 2014","","",0,"RT @KhaledBeydoun: Powerful protest held by Muslims in Philadelphia today. h/t @Yarehk   #MakeItPlainPhilly #BlackLivesMatter http://t.co/2…",2,2014-12-28 06:28:10,2014-12-28
"52287",52287,3,624419659023052800,"MissZindzi","Fri Jul 24 03:23:42 +0000 2015","","",0,"RT @Im_soRidic: Don't get me wrong #BlackLivesMatter but how can we say this if we don't carry ourselves as though we matter.",3,2015-07-24 03:23:42,2015-07-24
"41200",41200,2,551094399137222656,"RioKrupskaya","Fri Jan 02 19:15:18 +0000 2015","","",0,"RT @TheRoot: The #NYPD slowdown is proving that #brokenwindows is a failure. Isn’t it time to drop it? http://t.co/ZAbFJR5VU6",2,2015-01-02 19:15:18,2015-01-02
"93202",93202,7,778434081767903232,"_Therealrjm","Wed Sep 21 03:22:02 +0000 2016","","",0,"RT @jentrification: The scene in #CLT #blacklivesmatter https://t.co/3tzjS9tXKE",7,2016-09-21 03:22:02,2016-09-21
"14457",14457,1,541334489218433024,"calatayud7","Sat Dec 06 20:52:54 +0000 2014","","",0,"RT @keithboykin: Brian Conroy is the only NYPD cop convicted for a police shooting in the past 15 years. And he never went to jail. http://…",1,2014-12-06 20:52:54,2014-12-06
"85591",85591,7,778134771247509504,"Veritas1908","Tue Sep 20 07:32:41 +0000 2016","","",0,"RT @GreerBarnes1: Cops are the the black peoples isis! https://t.co/LTBmCwF8dZ",7,2016-09-20 07:32:41,2016-09-20
"50929",50929,3,631086341309235200,"BAMAPERRY","Tue Aug 11 12:54:43 +0000 2015","","",0,"Feel The Bern: Sanders’ Unveils New Racial Justice Platform Wins Praise From #BlackLivesMatter Activists… https://t.co/OVg4B76bDZ",3,2015-08-11 12:54:43,2015-08-11
"91965",91965,7,757553739150548992,"Stingraytwo","Mon Jul 25 12:31:00 +0000 2016","","",0,"RT @manlikeravage: Check out ""Black Milk"" by Ravage In memory of those slain in the name of racism  #blacklivesmatter     - https://t.co/Eq…",7,2016-07-25 12:31:00,2016-07-25
"23263",23263,1,704172400246693888,"poet4jesus16","Mon Feb 29 05:12:37 +0000 2016","","",0,"RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",1,2016-02-29 05:12:37,2016-02-29
"19483",19483,1,541015224489627648,"louvice","Fri Dec 05 23:44:15 +0000 2014","","",0,"RT @JimDalrympleII: A third night of #EricGarner protests around the US is beginning http://t.co/sNYLWwPrO8 via @BuzzFeedNews http://t.co/x…",1,2014-12-05 23:44:15,2014-12-05
"15236",15236,1,696351413618786304,"FearlessAMM","Sun Feb 07 15:14:49 +0000 2016","","",0,"RT @camilacabello97: this is one of the most powerful images ever. music with a message. beyonce killed this video. #BlackLivesMatter https…",1,2016-02-07 15:14:49,2016-02-07
"16520",16520,1,540463221279580160,"abs_tellthetale","Thu Dec 04 11:10:47 +0000 2014","","",0,"RT @sirrahmedia: Let's c how #MorningJoe justifies no indictment. Sure Joe &amp; guests will find a way 2 blame the victim 4 not giving up!! #I…",1,2014-12-04 11:10:47,2014-12-04
"36669",36669,2,561712091220815872,"devontej2091","Sun Feb 01 02:26:13 +0000 2015","","",0,"#PacktheCourt for Black Lives. #DroptheCharges against the #BlackFriday14. #WeWantAnswers #BlackLivesMatter :  https://t.co/zK8Sy7fKZA",2,2015-02-01 02:26:13,2015-02-01
"8580",8580,1,708690723584020480,"CloudsAreKool","Sat Mar 12 16:26:49 +0000 2016","","",0,"#TrumpRally #blacklivesmatter #NeverTrump #blacktwitter #thisisyourbase #itsyourpartynottrump https://t.co/TSHBxn68vM",1,2016-03-12 16:26:49,2016-03-12
"86578",86578,7,770597550529347584,"iamdjtumza","Tue Aug 30 12:22:27 +0000 2016","","",0,"Thanx to all who came to  @dstonelounge last night. We shutitdown @BIGHOMEYCASH @OskidoIBelieve @soltidj @InvadersOAfrika @deejshutdown",7,2016-08-30 12:22:27,2016-08-30
"64650",64650,5,751080720966311936,"itscamren_yo","Thu Jul 07 15:49:32 +0000 2016","","",0,"RT @Zendaya: #EricGarner #SandraBland #OscarGrant #AltonSterling #WalterScott #PhilandoCastile to… https://t.co/fVsgdj2VjA",5,2016-07-07 15:49:32,2016-07-07
"51918",51918,3,616827630642294784,"isidoodles","Fri Jul 03 04:35:41 +0000 2015","","",0,"RT @EBONYMag: Iconic Hip-Hop group @PublicEnemyFTP is back, and talks #BlackLivesMatter on their new album: http://t.co/vIQ8QXoXGD http://t…",3,2015-07-03 04:35:41,2015-07-03
"54278",54278,3,636987666131779584,"ibleesah","Thu Aug 27 19:44:28 +0000 2015","","",0,"RT @_indigomoon: So y'all will scream #WhiteLivesMatter for 2 reporters, but wouldn't dare utter #BlackLivesMatter when 9 church members we…",3,2015-08-27 19:44:28,2015-08-27
"83658",83658,7,756331163740934144,"OMeechie","Fri Jul 22 03:32:56 +0000 2016","","",0,"RT @___saloneBwoy: #BlackLivesMatter  Racist?? This man just spoke truth that most white people will deny. #CNN https://t.co/ZloFcFIz2G",7,2016-07-22 03:32:56,2016-07-22
"12670",12670,1,699630062346354688,"TCKnaub","Tue Feb 16 16:23:00 +0000 2016","","",0,"@sepinwall Having a hard time deciding. Which is the better episode: Homicide's ""Three Men and Adena"" or NYPD Blue's ""Lost Israel?""",1,2016-02-16 16:23:00,2016-02-16
"82010",82010,6,752115148941299712,"obviouschiId","Sun Jul 10 12:19:59 +0000 2016","","",0,"RT @Nareik4G: Few shots taken from today's peaceful protest in Brixton #BlackLivesMatter https://t.co/sZ7haNe5HW",6,2016-07-10 12:19:59,2016-07-10
"21336",21336,1,540372468654174208,"RawStory","Thu Dec 04 05:10:10 +0000 2014","","",0,"Jon Stewart goes off on serious #EricGarner case rant: 'We're definitely not living in a post-racial society' http://t.co/kF2gz9dxcj",1,2014-12-04 05:10:10,2014-12-04
"88531",88531,7,754924560781377536,"geezibabe","Mon Jul 18 06:23:35 +0000 2016","","",0,"RT @queenjunwhore: where were you when we were talking about #BlackLivesMatter then boo  https://t.co/E2OmiHTNwT",7,2016-07-18 06:23:35,2016-07-18
"17428",17428,1,682884428679540736,"villacana81","Fri Jan 01 11:21:49 +0000 2016","","",0,"RT @piccolocafenyc: Happy 2016 from NYC and all @piccolocafenyc Team!!!  @timessquarenyc @nycgo nypd @billdeblasio… https://t.co/VJ35TMbdkC",1,2016-01-01 11:21:49,2016-01-01
"91188",91188,7,755515147469230080,"HodgesUSARDNK","Tue Jul 19 21:30:22 +0000 2016","","",0,"RT @TooRacist: #BlackLivesMatter   Undoing everything MLK did for black people since 2013",7,2016-07-19 21:30:22,2016-07-19
"97194",97194,8,784086517782196224,"childoflight4","Thu Oct 06 17:42:48 +0000 2016","","",0,"RT @GopAaron: No matter how much criticism I get for saying this never will I stop. ALL LIVES MATTER PERIOD! #AllLivesMatter… ",8,2016-10-06 17:42:48,2016-10-06
"5654",5654,1,546488394491392000,"CKoscs1979","Sun Dec 21 02:12:41 +0000 2014","","",0,"RT @JuddLegum: Already blamed for horrific murder of two NYPD officers:  1. Bill DeBlasio  2. Eric Holder  3. Al Sharpton  4. Obama  http:/…",1,2014-12-21 02:12:41,2014-12-21
"19245",19245,1,546764740828336128,"whereswaldo1313","Sun Dec 21 20:30:47 +0000 2014","","",0,"Absolute shame that 2 NYPD officers were killed in ""retribution"" for killing a black man. A black man that has been arrested 30+ times.",1,2014-12-21 20:30:47,2014-12-21
"57774",57774,4,651898376003260416,"matteotrevino","Wed Oct 07 23:14:19 +0000 2015","","",0,"RT @drskyskull: Dear police: when you assume it's ""either/or,"" we assume you're racist. https://t.co/vSVhFoDOLv",4,2015-10-07 23:14:19,2015-10-07
